Row 1: Num | ID | Work Item Type | Title | Test Step | Step Action | Step Expected | Area Path
Row 134:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 135:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 136:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 137:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 138:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 139:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 140:  |  |  |  | 4 | selected "Local Device Security Options" -  "Accounts"  <NL> Set "Rename guest account" settings to "west1" and "Next" <NL>  |  <NL>  | 
Row 141:  |  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 142:  |  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 143:  |  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 144:  |  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 145:  |  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 146:  |  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 147:  |  |  |  | 6.1 | Open the "Settings" App |  <NL>  | 
Row 148:  |  |  |  | 6.2 | Click "Accounts" |  <NL>  | 
Row 149:  |  |  |  | 6.3 | Click "Access work or School" |  <NL>  | 
Row 150:  |  |  |  | 6.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 151:  |  |  |  | 6.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 152:  |  |  |  | 6.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 153:  |  |  |  | 6.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 154:  |  |  |  | 7 | In the same window that was used at step 6. above, locate the "Advanced Diagnostic Report" situated at the bottom of the page, and click on the "Create report" button.  <NL>  |  <NL>  | 
Row 155:  |  |  |  | 8 | Click the "Export" button in the popup window - this will cause the log files to be exported to the file "c:\users\Public\Documents\MDMDiagnostics\MDMDiagReport.html" <NL>  |  <NL>  | 
Row 156:  |  |  |  | 9 | Double click on the file name, by default it will open with Edge. <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can find ”Accounts_RenameGuestAccount“. <NL> Accounts_RenameGuestAccount Should be west1. <NL>  | 
Row 157: 7 | 8914902 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][Devices]: Undock device without logon |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 158:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 159:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 160:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 161:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 162:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 163:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 164:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 165:  |  |  |  | 4 | selected "Local Device Security Options" -  "Devices"  <NL> Set "Undock device without logon" settings to "Block" and "Next" <NL>  |  <NL>  | 
Row 166:  |  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 167:  |  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 168:  |  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 169:  |  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 170:  |  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 171:  |  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 172:  |  |  |  | 6.1 | Open the "Settings" App |  <NL>  | 
Row 173:  |  |  |  | 6.2 | Click "Accounts" |  <NL>  | 
Row 174:  |  |  |  | 6.3 | Click "Access work or School" |  <NL>  | 
Row 175:  |  |  |  | 6.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 176:  |  |  |  | 6.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 177:  |  |  |  | 6.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 178:  |  |  |  | 6.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
